candidate_id,file_path,language,topic,location,claim_type,current_text,suggested_source,status
C00001,src/content/hojo-undo/chi-ishi/attention-points.md,base,Aandachtspunten (Points of Attention),line 1,general,Aandachtspunten (Points of Attention),"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00002,src/content/hojo-undo/chi-ishi/attention-points.md,base,Aandachtspunten (Points of Attention),line 3,definition,"De volgende aandachtspunten worden steeds benadrukt, ze zijn letterlijk vertaald van teksten of uitspraken van Higaonna Sensei. Het is echter de moeite waard om je eigen woorden te kiezen die naar jou idee en gevoel de beste brug vormen tussen praktijk en theorie.","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00003,src/content/hojo-undo/chi-ishi/attention-points.md,base,Belangrijke aandachtspunten,line 5,general,Belangrijke aandachtspunten,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00004,src/content/hojo-undo/chi-ishi/attention-points.md,base,Houding en spanning,line 7,general,Houding en spanning,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00005,src/content/hojo-undo/chi-ishi/attention-points.md,base,Houding en spanning,line 8,general,'Zet de schouder naar beneden toe vast',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00006,src/content/hojo-undo/chi-ishi/attention-points.md,base,Houding en spanning,line 9,general,'Span de latissimus dorsi aan',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00007,src/content/hojo-undo/chi-ishi/attention-points.md,base,Houding en spanning,line 10,general,'Span de pols',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00008,src/content/hojo-undo/chi-ishi/attention-points.md,base,Houding en spanning,line 11,general,'Grijp vast',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00009,src/content/hojo-undo/chi-ishi/attention-points.md,base,Ademhaling en kracht,line 13,general,Ademhaling en kracht,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00010,src/content/hojo-undo/chi-ishi/attention-points.md,base,Ademhaling en kracht,line 14,general,'Adem uit vanuit het tanden',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
