file_path,area,content_type,language,topic,priority,status,notes
src/content/hojo-undo/chi-ishi/attention-points.md,hojo-undo,markdown-content,base,attention-points,high,not reviewed,
src/content/hojo-undo/chi-ishi/construction.md,hojo-undo,markdown-content,base,construction,high,not reviewed,
src/content/hojo-undo/chi-ishi/exercises.md,hojo-undo,markdown-content,base,exercises,high,not reviewed,
src/content/hojo-undo/chi-ishi/function.md,hojo-undo,markdown-content,base,function,high,not reviewed,
src/content/hojo-undo/introduction.md,hojo-undo,markdown-content,base,introduction,high,not reviewed,
src/content/hojo-undo/ishi-sashi/attention-points.md,hojo-undo,markdown-content,base,attention-points,high,not reviewed,
src/content/hojo-undo/ishi-sashi/construction.md,hojo-undo,markdown-content,base,construction,high,not reviewed,
src/content/hojo-undo/ishi-sashi/exercises.md,hojo-undo,markdown-content,base,exercises,high,not reviewed,
src/content/hojo-undo/ishi-sashi/function.md,hojo-undo,markdown-content,base,function,high,not reviewed,
src/content/hojo-undo/kongoken/attention-points.md,hojo-undo,markdown-content,base,attention-points,high,not reviewed,
src/content/hojo-undo/kongoken/classic-exercises.md,hojo-undo,markdown-content,base,classic-exercises,high,not reviewed,
src/content/hojo-undo/kongoken/construction.md,hojo-undo,markdown-content,base,construction,high,not reviewed,
src/content/hojo-undo/kongoken/exercises.md,hojo-undo,markdown-content,base,exercises,high,not reviewed,
src/content/hojo-undo/kongoken/function.md,hojo-undo,markdown-content,base,function,high,not reviewed,
src/content/hojo-undo/nigiri-game/attention-points.md,hojo-undo,markdown-content,base,attention-points,high,not reviewed,
src/content/hojo-undo/nigiri-game/construction.md,hojo-undo,markdown-content,base,construction,high,not reviewed,
src/content/hojo-undo/nigiri-game/exercises.md,hojo-undo,markdown-content,base,exercises,high,not reviewed,
src/content/hojo-undo/nigiri-game/function.md,hojo-undo,markdown-content,base,function,high,not reviewed,
src/content/hojo-undo/ude-tanren/exercises.md,hojo-undo,markdown-content,base,exercises,high,not reviewed,
src/content/kata-theory/bunkai-and-techniques.md,kata-theory,markdown-content,base,bunkai-and-techniques,high,not reviewed,
src/content/kata-theory/kata-and-karate.md,kata-theory,markdown-content,base,kata-and-karate,high,not reviewed,
src/content/kata-theory/kata-origins.md,kata-theory,markdown-content,base,kata-origins,high,not reviewed,
src/content/kata-theory/kata-techniques.de.md,kata-theory,markdown-content,de,kata-techniques,high,not reviewed,
src/content/kata-theory/kata-techniques.es.md,kata-theory,markdown-content,es,kata-techniques,high,not reviewed,
src/content/kata-theory/kata-techniques.fr.md,kata-theory,markdown-content,fr,kata-techniques,high,not reviewed,
src/content/kata-theory/kata-techniques.it.md,kata-theory,markdown-content,it,kata-techniques,high,not reviewed,
src/content/kata-theory/kata-techniques.md,kata-theory,markdown-content,base,kata-techniques,high,not reviewed,
src/content/kata-theory/kata-techniques.nl.md,kata-theory,markdown-content,nl,kata-techniques,high,not reviewed,
src/content/kata-theory/okinawan-concepts.md,kata-theory,markdown-content,base,okinawan-concepts,high,not reviewed,
src/content/kata-theory/power-and-movement.md,kata-theory,markdown-content,base,power-and-movement,high,not reviewed,
src/content/kata-theory/power-transfer.de.md,kata-theory,markdown-content,de,power-transfer,high,not reviewed,
src/content/kata-theory/power-transfer.es.md,kata-theory,markdown-content,es,power-transfer,high,not reviewed,
src/content/kata-theory/power-transfer.fr.md,kata-theory,markdown-content,fr,power-transfer,high,not reviewed,
src/content/kata-theory/power-transfer.it.md,kata-theory,markdown-content,it,power-transfer,high,not reviewed,
src/content/kata-theory/power-transfer.md,kata-theory,markdown-content,base,power-transfer,high,not reviewed,
src/content/kata-theory/power-transfer.nl.md,kata-theory,markdown-content,nl,power-transfer,high,not reviewed,
src/content/kata-theory/sources-of-power.de.md,kata-theory,markdown-content,de,sources-of-power,high,not reviewed,
src/content/kata-theory/sources-of-power.es.md,kata-theory,markdown-content,es,sources-of-power,high,not reviewed,
src/content/kata-theory/sources-of-power.fr.md,kata-theory,markdown-content,fr,sources-of-power,high,not reviewed,
src/content/kata-theory/sources-of-power.it.md,kata-theory,markdown-content,it,sources-of-power,high,not reviewed,
src/content/kata-theory/sources-of-power.md,kata-theory,markdown-content,base,sources-of-power,high,not reviewed,
src/content/kata-theory/sources-of-power.nl.md,kata-theory,markdown-content,nl,sources-of-power,high,not reviewed,
src/content/kata-theory/what-are-kata.de.md,kata-theory,markdown-content,de,what-are-kata,high,not reviewed,
src/content/kata-theory/what-are-kata.es.md,kata-theory,markdown-content,es,what-are-kata,high,not reviewed,
src/content/kata-theory/what-are-kata.fr.md,kata-theory,markdown-content,fr,what-are-kata,high,not reviewed,
src/content/kata-theory/what-are-kata.it.md,kata-theory,markdown-content,it,what-are-kata,high,not reviewed,
src/content/kata-theory/what-are-kata.md,kata-theory,markdown-content,base,what-are-kata,high,not reviewed,
src/content/kata-theory/what-are-kata.nl.md,kata-theory,markdown-content,nl,what-are-kata,high,not reviewed,
src/content/kumite/competition.md,kumite,markdown-content,base,competition,high,not reviewed,
src/content/kumite/introduction.md,kumite,markdown-content,base,introduction,high,not reviewed,
src/content/kumite/introduction/safety-and-rules.en.md,kumite,markdown-content,en,safety-and-rules,high,not reviewed,
src/content/kumite/introduction/safety-and-rules.md,kumite,markdown-content,base,safety-and-rules,high,not reviewed,
src/content/kumite/introduction/types-of-kumite.en.md,kumite,markdown-content,en,types-of-kumite,high,not reviewed,
src/content/kumite/introduction/types-of-kumite.md,kumite,markdown-content,base,types-of-kumite,high,not reviewed,
src/content/kumite/introduction/what-is-kumite.en.md,kumite,markdown-content,en,what-is-kumite,high,not reviewed,
src/content/kumite/introduction/what-is-kumite.md,kumite,markdown-content,base,what-is-kumite,high,not reviewed,
src/content/kumite/introduction/what-is-kumite.nl.md,kumite,markdown-content,nl,what-is-kumite,high,not reviewed,
src/content/kumite/principles.md,kumite,markdown-content,base,principles,high,not reviewed,
src/content/kumite/techniques.md,kumite,markdown-content,base,techniques,high,not reviewed,
src/content/kumite/techniques/attack-techniques.md,kumite,markdown-content,base,attack-techniques,high,not reviewed,
src/content/kumite/techniques/defense-techniques.md,kumite,markdown-content,base,defense-techniques,high,not reviewed,
src/content/kumite/techniques/throwing-techniques.md,kumite,markdown-content,base,throwing-techniques,high,not reviewed,
src/content/kumite/training.md,kumite,markdown-content,base,training,high,not reviewed,
src/content/newaza/drills.md,newaza,markdown-content,base,drills,high,not reviewed,
src/content/newaza/ground-positions.md,newaza,markdown-content,base,ground-positions,high,not reviewed,
src/content/newaza/introduction.md,newaza,markdown-content,base,introduction,high,not reviewed,
src/content/newaza/kakie.md,newaza,markdown-content,base,kakie,high,not reviewed,
src/content/newaza/techniques.md,newaza,markdown-content,base,techniques,high,not reviewed,
src/content/newaza/training-elements.md,newaza,markdown-content,base,training-elements,high,not reviewed,
src/data/gekisai-dai-ichi.da.ts,data,data-module,da,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.de.ts,data,data-module,de,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.en.ts,data,data-module,en,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.es.ts,data,data-module,es,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.fr.ts,data,data-module,fr,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.it.ts,data,data-module,it,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.nl.ts,data,data-module,nl,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.pt.ts,data,data-module,pt,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ichi.ts,data,data-module,base,gekisai-dai-ichi,high,not reviewed,
src/data/gekisai-dai-ni.da.ts,data,data-module,da,gekisai-dai-ni,high,not reviewed,
src/data/gekisai-dai-ni.de.ts,data,data-module,de,gekisai-dai-ni,high,not reviewed,
src/data/gekisai-dai-ni.en.ts,data,data-module,en,gekisai-dai-ni,high,not reviewed,
src/data/gekisai-dai-ni.es.ts,data,data-module,es,gekisai-dai-ni,high,not reviewed,
src/data/gekisai-dai-ni.fr.ts,data,data-module,fr,gekisai-dai-ni,high,not reviewed,
src/data/gekisai-dai-ni.it.ts,data,data-module,it,gekisai-dai-ni,high,not reviewed,
src/data/gekisai-dai-ni.nl.ts,data,data-module,nl,gekisai-dai-ni,high,not reviewed,
src/data/gekisai-dai-ni.pt.ts,data,data-module,pt,gekisai-dai-ni,high,not reviewed,
src/data/graduations/10th-kyu.json,graduations,data-json,base,10th-kyu,high,not reviewed,
src/data/graduations/10th-kyu.nl.json,graduations,data-json,nl,10th-kyu,high,not reviewed,
src/data/graduations/1st-kyu.json,graduations,data-json,base,1st-kyu,high,not reviewed,
src/data/graduations/1st-kyu.nl.json,graduations,data-json,nl,1st-kyu,high,not reviewed,
src/data/graduations/2nd-kyu.json,graduations,data-json,base,2nd-kyu,high,not reviewed,
src/data/graduations/2nd-kyu.nl.json,graduations,data-json,nl,2nd-kyu,high,not reviewed,
src/data/graduations/3rd-kyu.json,graduations,data-json,base,3rd-kyu,high,not reviewed,
src/data/graduations/3rd-kyu.nl.json,graduations,data-json,nl,3rd-kyu,high,not reviewed,
src/data/graduations/4th-kyu.json,graduations,data-json,base,4th-kyu,high,not reviewed,
src/data/graduations/4th-kyu.nl.json,graduations,data-json,nl,4th-kyu,high,not reviewed,
src/data/graduations/5th-kyu.json,graduations,data-json,base,5th-kyu,high,not reviewed,
src/data/graduations/5th-kyu.nl.json,graduations,data-json,nl,5th-kyu,high,not reviewed,
src/data/graduations/6th-kyu.json,graduations,data-json,base,6th-kyu,high,not reviewed,
src/data/graduations/6th-kyu.nl.json,graduations,data-json,nl,6th-kyu,high,not reviewed,
src/data/graduations/7th-kyu.json,graduations,data-json,base,7th-kyu,high,not reviewed,
src/data/graduations/7th-kyu.nl.json,graduations,data-json,nl,7th-kyu,high,not reviewed,
