file_path,area,content_type,language,topic,priority,status,notes
docs/Bunkai boekje NL 20251115 tm Sanseru - v1.0 in concept_extracted.txt,reference,reference-material,,Bunkai boekje NL 20251115 tm Sanseru - v1.0 in concept_extracted,medium,source material,
docs/Bunkai boekje NL 20251115 tm Sanseru - v1.0 in concept.pdf,reference,reference-material,,Bunkai boekje NL 20251115 tm Sanseru - v1.0 in concept,medium,source material,
docs/extracted_text.txt,reference,reference-material,,extracted_text,medium,source material,
docs/fact-check-implementation.md,reference,reference-material,,fact-check-implementation,medium,source material,
docs/fact-check-plan.md,reference,reference-material,,fact-check-plan,medium,source material,
docs/geschiedenis.docx,reference,reference-material,,geschiedenis,medium,source material,
docs/Gojuryu_newaza_extracted.txt,reference,reference-material,,Gojuryu_newaza_extracted,medium,source material,
docs/Gojuryu_newaza.pdf,reference,reference-material,,Gojuryu_newaza,medium,source material,
docs/hoei_juku_extracted/appendix.txt,reference,reference-material,,appendix,medium,source material,
docs/hoei_juku_extracted/basic_techniques.txt,reference,reference-material,,basic_techniques,medium,source material,
docs/hoei_juku_extracted/full_text.txt,reference,reference-material,,full_text,medium,source material,
docs/hoei_juku_extracted/introduction.txt,reference,reference-material,,introduction,medium,source material,
docs/hoei_juku_extracted/kata.txt,reference,reference-material,,kata,medium,source material,
docs/hoei_juku_extracted/philosophy.txt,reference,reference-material,,philosophy,medium,source material,
docs/Hojo Undo/HojoUndo-Chiishi.pdf,reference,reference-material,,HojoUndo-Chiishi,medium,source material,
docs/Hojo Undo/HojoUndo-doublehandleChiishi.pdf,reference,reference-material,,HojoUndo-doublehandleChiishi,medium,source material,
docs/Hojo Undo/HojoUndo-IshiSashi.pdf,reference,reference-material,,HojoUndo-IshiSashi,medium,source material,
docs/Hojo Undo/HojoUndo-Jari Bako.pdf,reference,reference-material,,HojoUndo-Jari Bako,medium,source material,
docs/Hojo Undo/HojoUndo-Kongoken.pdf,reference,reference-material,,HojoUndo-Kongoken,medium,source material,
docs/Hojo Undo/HojoUndo-Makiage.pdf,reference,reference-material,,HojoUndo-Makiage,medium,source material,
docs/Hojo Undo/HojoUndo-Makiwara.pdf,reference,reference-material,,HojoUndo-Makiwara,medium,source material,
docs/Hojo Undo/HojoUndo-Nigiri.pdf,reference,reference-material,,HojoUndo-Nigiri,medium,source material,
docs/Hojo Undo/HojoUndo-supplemental.pdf,reference,reference-material,,HojoUndo-supplemental,medium,source material,
docs/Hojo Undo/HojoUndo-Tan.pdf,reference,reference-material,,HojoUndo-Tan,medium,source material,
docs/Hojo Undo/HojoUndo-Tetsu Geta.pdf,reference,reference-material,,HojoUndo-Tetsu Geta,medium,source material,
docs/Hojo Undo/HojoUndo-Ton.pdf,reference,reference-material,,HojoUndo-Ton,medium,source material,
docs/Hojo Undo/HojoUndo-Ude Ketae.pdf,reference,reference-material,,HojoUndo-Ude Ketae,medium,source material,
docs/Hojo_undo_artikelen_1995.pdf,reference,reference-material,,Hojo_undo_artikelen_1995,medium,source material,
docs/hojo_undo_extracted.txt,reference,reference-material,,hojo_undo_extracted,medium,source material,
docs/HojoUndo-Ude Tanren_extracted.txt,reference,reference-material,,HojoUndo-Ude Tanren_extracted,medium,source material,
docs/HojoUndo-Ude Tanren.pdf,reference,reference-material,,HojoUndo-Ude Tanren,medium,source material,
docs/junbi undo_extracted.txt,reference,reference-material,,junbi undo_extracted,medium,source material,
docs/junbi undo.pdf,reference,reference-material,,junbi undo,medium,source material,
docs/Kakie_web_extracted.txt,reference,reference-material,,Kakie_web_extracted,medium,source material,
docs/Kakie_web.pdf,reference,reference-material,,Kakie_web,medium,source material,
docs/kumite_extracted.txt,reference,reference-material,,kumite_extracted,medium,source material,
docs/kumite.pdf,reference,reference-material,,kumite,medium,source material,
docs/technieken-van-de-kata.pdf,reference,reference-material,,technieken-van-de-kata,medium,source material,
docs/The-Hoei-Juku-Training-Manual.pdf,reference,reference-material,,The-Hoei-Juku-Training-Manual,medium,source material,
public/Images/blocks/age-uke.gif,media,media,,age-uke,medium,not reviewed,
public/Images/blocks/gedan-barai.gif,media,media,,gedan-barai,medium,not reviewed,
public/Images/blocks/soto-uke.gif,media,media,,soto-uke,medium,not reviewed,
public/Images/goju.png,media,media,,goju,medium,not reviewed,
public/Images/hojo-undo/doubleHandleChiishi.png,media,media,,doubleHandleChiishi,medium,not reviewed,
public/Images/hojo-undo/makiage.png,media,media,,makiage,medium,not reviewed,
public/Images/hojo-undo/supplemental.png,media,media,,supplemental,medium,not reviewed,
public/Images/hojo-undo/ton.png,media,media,,ton,medium,not reviewed,
public/Images/hojo-undo/udeKetae.png,media,media,,udeKetae,medium,not reviewed,
public/Images/JunbiUndo/page_10_image_1.png,media,media,,page_10_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_11_image_1.png,media,media,,page_11_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_12_image_1.png,media,media,,page_12_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_13_image_1.png,media,media,,page_13_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_14_image_1.png,media,media,,page_14_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_16_image_1.png,media,media,,page_16_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_17_image_1.png,media,media,,page_17_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_19_image_1.png,media,media,,page_19_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_3_image_1.png,media,media,,page_3_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_5_image_1.png,media,media,,page_5_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_5_image_1a.png,media,media,,page_5_image_1a,medium,not reviewed,
public/Images/JunbiUndo/page_6_image_1.png,media,media,,page_6_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_6_image_1a.png,media,media,,page_6_image_1a,medium,not reviewed,
public/Images/JunbiUndo/page_7_image_1.png,media,media,,page_7_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_8_image_1.png,media,media,,page_8_image_1,medium,not reviewed,
public/Images/JunbiUndo/page_9_image_1.png,media,media,,page_9_image_1,medium,not reviewed,
public/Images/Kata/gekisai-dai-ichi-1.png,media,media,,gekisai-dai-ichi-1,medium,not reviewed,
public/Images/Kata/gekisai-dai-ichi-2.png,media,media,,gekisai-dai-ichi-2,medium,not reviewed,
public/Images/Kata/gekisai-dai-ichi-3.png,media,media,,gekisai-dai-ichi-3,medium,not reviewed,
public/Images/Kata/gekisai-dai-ni-1.png,media,media,,gekisai-dai-ni-1,medium,not reviewed,
public/Images/Kata/Kata1.png,media,media,,Kata1,medium,not reviewed,
public/Images/Kata/Kata2.png,media,media,,Kata2,medium,not reviewed,
public/Images/Kata/Kata3.png,media,media,,Kata3,medium,not reviewed,
public/Images/Kata/Saifa1.png,media,media,,Saifa1,medium,not reviewed,
public/Images/Kata/Saifa2.png,media,media,,Saifa2,medium,not reviewed,
public/Images/Kata/Saifa3.png,media,media,,Saifa3,medium,not reviewed,
public/Images/Kata/Saifa4.png,media,media,,Saifa4,medium,not reviewed,
public/Images/Kata/Saifa5.png,media,media,,Saifa5,medium,not reviewed,
public/Images/Kata/Saifa6.png,media,media,,Saifa6,medium,not reviewed,
public/Images/Kata/Saifa7.png,media,media,,Saifa7,medium,not reviewed,
public/Images/Kata/Sanseru1.png,media,media,,Sanseru1,medium,not reviewed,
public/Images/Kata/Sanseru2.png,media,media,,Sanseru2,medium,not reviewed,
public/Images/Kata/Sanseru3.png,media,media,,Sanseru3,medium,not reviewed,
public/Images/Kata/Sanseru4.png,media,media,,Sanseru4,medium,not reviewed,
public/Images/Kata/Sanseru5.png,media,media,,Sanseru5,medium,not reviewed,
public/Images/Kata/Seiyunchin1.png,media,media,,Seiyunchin1,medium,not reviewed,
public/Images/Kata/Seiyunchin10.png,media,media,,Seiyunchin10,medium,not reviewed,
public/Images/Kata/Seiyunchin11.png,media,media,,Seiyunchin11,medium,not reviewed,
public/Images/Kata/Seiyunchin12.png,media,media,,Seiyunchin12,medium,not reviewed,
public/Images/Kata/Seiyunchin13.png,media,media,,Seiyunchin13,medium,not reviewed,
public/Images/Kata/Seiyunchin2.png,media,media,,Seiyunchin2,medium,not reviewed,
public/Images/Kata/Seiyunchin3.png,media,media,,Seiyunchin3,medium,not reviewed,
public/Images/Kata/Seiyunchin4.png,media,media,,Seiyunchin4,medium,not reviewed,
public/Images/Kata/Seiyunchin5.png,media,media,,Seiyunchin5,medium,not reviewed,
public/Images/Kata/Seiyunchin6.png,media,media,,Seiyunchin6,medium,not reviewed,
public/Images/Kata/Seiyunchin7.png,media,media,,Seiyunchin7,medium,not reviewed,
public/Images/Kata/Seiyunchin8.png,media,media,,Seiyunchin8,medium,not reviewed,
public/Images/Kata/Seiyunchin9.png,media,media,,Seiyunchin9,medium,not reviewed,
public/Images/Kata/Sepai1.png,media,media,,Sepai1,medium,not reviewed,
public/Images/Kata/Sepai10.png,media,media,,Sepai10,medium,not reviewed,
public/Images/Kata/Sepai11.png,media,media,,Sepai11,medium,not reviewed,
public/Images/Kata/Sepai2.png,media,media,,Sepai2,medium,not reviewed,
public/Images/Kata/Sepai3.png,media,media,,Sepai3,medium,not reviewed,
public/Images/Kata/Sepai4.png,media,media,,Sepai4,medium,not reviewed,
public/Images/Kata/Sepai5.png,media,media,,Sepai5,medium,not reviewed,
public/Images/Kata/Sepai6.png,media,media,,Sepai6,medium,not reviewed,
public/Images/Kata/Sepai7.png,media,media,,Sepai7,medium,not reviewed,
public/Images/Kata/Sepai8.png,media,media,,Sepai8,medium,not reviewed,
public/Images/Kata/Sepai9.png,media,media,,Sepai9,medium,not reviewed,
public/Images/Kata/Shisochin1.png,media,media,,Shisochin1,medium,not reviewed,
public/Images/Kata/Shisochin2.png,media,media,,Shisochin2,medium,not reviewed,
public/Images/Kata/Shisochin3.png,media,media,,Shisochin3,medium,not reviewed,
public/Images/Kata/Shisochin4.png,media,media,,Shisochin4,medium,not reviewed,
public/Images/Kata/Shisochin5.png,media,media,,Shisochin5,medium,not reviewed,
public/Images/Kata/Shisochin6.png,media,media,,Shisochin6,medium,not reviewed,
public/Images/Kata/Shisochin7.png,media,media,,Shisochin7,medium,not reviewed,
public/Images/Kata/Shisochin8.png,media,media,,Shisochin8,medium,not reviewed,
public/Images/Newaza/placeholder.jpg,media,media,,placeholder,medium,not reviewed,
public/Images/Stances/hachiji-dachi-1024x619-upscale-4x.jpg,media,media,,hachiji-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/han-zenkutsu-dachi-1024x619-upscale-4x.jpg,media,media,,han-zenkutsu-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/heiko-dachi-1024x619-upscale-4x.jpg,media,media,,heiko-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/heisoku-dachi-1024x619-upscale-4x.jpg,media,media,,heisoku-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/kiba-dachi-1024x619-upscale-4x.jpg,media,media,,kiba-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/kokutsu-dachi-1024x619-upscale-4x.jpg,media,media,,kokutsu-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/kosa-dachi-1024x619-upscale-4x.jpg,media,media,,kosa-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/musubi-dachi-1024x619-upscale-4x.jpg,media,media,,musubi-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/neko-ashi-dachi-1024x619-upscale-4x.jpg,media,media,,neko-ashi-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/sanchin-dachi-1024x619-upscale-4x.jpg,media,media,,sanchin-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/seiza-placeholder.jpg,media,media,,seiza-placeholder,medium,not reviewed,
public/Images/Stances/shiko-dachi-1024x619-upscale-4x.jpg,media,media,,shiko-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/tsuru-ashi-dachi-1024x619-upscale-4x.jpg,media,media,,tsuru-ashi-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Stances/zenkutsu-dachi-1024x619-upscale-4x.jpg,media,media,,zenkutsu-dachi-1024x619-upscale-4x,medium,not reviewed,
public/Images/Vital-points-back.jpg,media,media,,Vital-points-back,medium,not reviewed,
public/Images/Vital-points-front.jpg,media,media,,Vital-points-front,medium,not reviewed,
public/og-image.png,media,media,,og-image,medium,not reviewed,
public/placeholder.svg,media,media,,placeholder,medium,not reviewed,
public/Video/Blocks/age-uke.mp4,media,media,,age-uke,medium,not reviewed,
public/Video/Blocks/gedan-barai.mp4,media,media,,gedan-barai,medium,not reviewed,
public/Video/Blocks/soto-uke.mp4,media,media,,soto-uke,medium,not reviewed,
src/content/history/anichi-miyagi.de.md,history,markdown-content,de,anichi-miyagi,medium,not reviewed,
src/content/history/anichi-miyagi.en.md,history,markdown-content,en,anichi-miyagi,medium,not reviewed,
