claim_id,rank,language,file_path,term,suggested_meaning,suggested_japanese,terminology_path,confidence,match_type,suggestion_status,notes
G00144,2nd-kyu,base,src/data/graduations/2nd-kyu.json,Kaishu gata,,,,none,,no-internal-match,Needs manual source review.
G00145,2nd-kyu,base,src/data/graduations/2nd-kyu.json,Heishu gata,,,,none,,no-internal-match,Needs manual source review.
G00146,2nd-kyu,base,src/data/graduations/2nd-kyu.json,"Sho dan, ni dan, san dan, yon dan, go dan, rok udan, shichi dan, hachi dan, kyu dan, ju dan",,,,none,,no-internal-match,Needs manual source review.
G00147,2nd-kyu,base,src/data/graduations/2nd-kyu.json,Ritsu rei,,,,none,,no-internal-match,Needs manual source review.
G00148,2nd-kyu,base,src/data/graduations/2nd-kyu.json,Za rei,,,,none,,no-internal-match,Needs manual source review.
G00149,2nd-kyu,base,src/data/graduations/2nd-kyu.json,Hoshin,,,,none,,no-internal-match,Needs manual source review.
G00177,2nd-kyu,nl,src/data/graduations/2nd-kyu.nl.json,Kaishu gata,,,,none,,no-internal-match,Needs manual source review.
G00178,2nd-kyu,nl,src/data/graduations/2nd-kyu.nl.json,Heishu gata,,,,none,,no-internal-match,Needs manual source review.
G00179,2nd-kyu,nl,src/data/graduations/2nd-kyu.nl.json,"Sho dan, ni dan, san dan, yon dan, go dan, rok udan, shichi dan, hachi dan, kyu dan, ju dan",,,,none,,no-internal-match,Needs manual source review.
G00180,2nd-kyu,nl,src/data/graduations/2nd-kyu.nl.json,Ritsu rei,,,,none,,no-internal-match,Needs manual source review.
G00181,2nd-kyu,nl,src/data/graduations/2nd-kyu.nl.json,Za rei,,,,none,,no-internal-match,Needs manual source review.
G00182,2nd-kyu,nl,src/data/graduations/2nd-kyu.nl.json,Hoshin,,,,none,,no-internal-match,Needs manual source review.
G00205,3rd-kyu,base,src/data/graduations/3rd-kyu.json,Renzoku,,,,none,,no-internal-match,Needs manual source review.
G00206,3rd-kyu,base,src/data/graduations/3rd-kyu.json,Kenpo hakku,,,,none,,no-internal-match,Needs manual source review.
G00207,3rd-kyu,base,src/data/graduations/3rd-kyu.json,Heijo shin (fudo shin),,,,none,,no-internal-match,Needs manual source review.
G00208,3rd-kyu,base,src/data/graduations/3rd-kyu.json,Sabaki / tai sabaki,,,,none,,no-internal-match,Needs manual source review.
G00210,3rd-kyu,base,src/data/graduations/3rd-kyu.json,Bubishi,,,,none,,no-internal-match,Needs manual source review.
G00213,3rd-kyu,base,src/data/graduations/3rd-kyu.json,Chin kuchi kakin,,,,none,,no-internal-match,Needs manual source review.
G00214,3rd-kyu,base,src/data/graduations/3rd-kyu.json,Shime jurasan,,,,none,,no-internal-match,Needs manual source review.
G00237,3rd-kyu,nl,src/data/graduations/3rd-kyu.nl.json,Renzoku,,,,none,,no-internal-match,Needs manual source review.
G00238,3rd-kyu,nl,src/data/graduations/3rd-kyu.nl.json,Kenpo hakku,,,,none,,no-internal-match,Needs manual source review.
G00239,3rd-kyu,nl,src/data/graduations/3rd-kyu.nl.json,Heijo shin (fudo shin),,,,none,,no-internal-match,Needs manual source review.
G00240,3rd-kyu,nl,src/data/graduations/3rd-kyu.nl.json,Sabaki / tai sabaki,,,,none,,no-internal-match,Needs manual source review.
G00242,3rd-kyu,nl,src/data/graduations/3rd-kyu.nl.json,Bubishi,,,,none,,no-internal-match,Needs manual source review.
G00245,3rd-kyu,nl,src/data/graduations/3rd-kyu.nl.json,Chin kuchi kakin,,,,none,,no-internal-match,Needs manual source review.
G00246,3rd-kyu,nl,src/data/graduations/3rd-kyu.nl.json,Shime jurasan,,,,none,,no-internal-match,Needs manual source review.
G00278,4th-kyu,base,src/data/graduations/4th-kyu.json,Gyaku waza,,,,none,,no-internal-match,Needs manual source review.
G00279,4th-kyu,base,src/data/graduations/4th-kyu.json,Hazushi waza,,,,none,,no-internal-match,Needs manual source review.
G00280,4th-kyu,base,src/data/graduations/4th-kyu.json,Nage waza,,,,none,,no-internal-match,Needs manual source review.
G00283,4th-kyu,base,src/data/graduations/4th-kyu.json,Morote,,,,none,,no-internal-match,Needs manual source review.
G00284,4th-kyu,base,src/data/graduations/4th-kyu.json,Morote waza,,,,none,,no-internal-match,Needs manual source review.
G00318,4th-kyu,nl,src/data/graduations/4th-kyu.nl.json,Gyaku waza,,,,none,,no-internal-match,Needs manual source review.
G00319,4th-kyu,nl,src/data/graduations/4th-kyu.nl.json,Hazushi waza,,,,none,,no-internal-match,Needs manual source review.
G00320,4th-kyu,nl,src/data/graduations/4th-kyu.nl.json,Nage waza,,,,none,,no-internal-match,Needs manual source review.
G00323,4th-kyu,nl,src/data/graduations/4th-kyu.nl.json,Morote,,,,none,,no-internal-match,Needs manual source review.
G00324,4th-kyu,nl,src/data/graduations/4th-kyu.nl.json,Morote waza,,,,none,,no-internal-match,Needs manual source review.
G00352,5th-kyu,base,src/data/graduations/5th-kyu.json,Dojo kun in Japanese and its meaning,,,,none,,no-internal-match,Needs manual source review.
G00353,5th-kyu,base,src/data/graduations/5th-kyu.json,Opening & closing ceremony in Japanese,,,,none,,no-internal-match,Needs manual source review.
G00355,5th-kyu,base,src/data/graduations/5th-kyu.json,Zenshin,,,,none,,no-internal-match,Needs manual source review.
G00356,5th-kyu,base,src/data/graduations/5th-kyu.json,Kotai,,,,none,,no-internal-match,Needs manual source review.
G00385,5th-kyu,nl,src/data/graduations/5th-kyu.nl.json,Dojo kun in het Japans en zijn betekenis,,,,none,,no-internal-match,Needs manual source review.
G00386,5th-kyu,nl,src/data/graduations/5th-kyu.nl.json,Opening & sluiting ceremonie in het Japans,,,,none,,no-internal-match,Needs manual source review.
G00388,5th-kyu,nl,src/data/graduations/5th-kyu.nl.json,Zenshin,,,,none,,no-internal-match,Needs manual source review.
G00389,5th-kyu,nl,src/data/graduations/5th-kyu.nl.json,Kotai,,,,none,,no-internal-match,Needs manual source review.
G00426,6th-kyu,base,src/data/graduations/6th-kyu.json,Do,The Way of the Empty Hand,空手道,terminology.sections.karate-goju-ryu-content.terms.karate-do,review-ambiguous-short-term,split-field,matched-existing-terminology,Review before applying; this is an internal consistency suggestion.
G00427,6th-kyu,base,src/data/graduations/6th-kyu.json,Honbu,,,,none,,no-internal-match,Needs manual source review.
G00433,6th-kyu,base,src/data/graduations/6th-kyu.json,Irikumi,,,,none,,no-internal-match,Needs manual source review.
G00434,6th-kyu,base,src/data/graduations/6th-kyu.json,Reigi/reishiki,,,,none,,no-internal-match,Needs manual source review.
G00468,6th-kyu,nl,src/data/graduations/6th-kyu.nl.json,Do,De Weg van de Lege Hand,空手道,terminology.sections.karate-goju-ryu-content.terms.karate-do,review-ambiguous-short-term,split-field,matched-existing-terminology,Review before applying; this is an internal consistency suggestion.
G00469,6th-kyu,nl,src/data/graduations/6th-kyu.nl.json,Honbu,,,,none,,no-internal-match,Needs manual source review.
G00475,6th-kyu,nl,src/data/graduations/6th-kyu.nl.json,Irikumi,,,,none,,no-internal-match,Needs manual source review.
G00476,6th-kyu,nl,src/data/graduations/6th-kyu.nl.json,Reigi/reishiki,,,,none,,no-internal-match,Needs manual source review.
G00513,7th-kyu,base,src/data/graduations/7th-kyu.json,Mae/yoko/migi/hidari/ushiro/naname,,,,none,,no-internal-match,Needs manual source review.
G00514,7th-kyu,base,src/data/graduations/7th-kyu.json,Ashi kaete,,,,none,,no-internal-match,Needs manual source review.
G00515,7th-kyu,base,src/data/graduations/7th-kyu.json,Shomen/shimoza,,,,none,,no-internal-match,Needs manual source review.
G00516,7th-kyu,base,src/data/graduations/7th-kyu.json,Joseki/shimoseki,,,,none,,no-internal-match,Needs manual source review.
G00553,7th-kyu,nl,src/data/graduations/7th-kyu.nl.json,Mae/yoko/migi/hidari/ushiro/naname,,,,none,,no-internal-match,Needs manual source review.
G00554,7th-kyu,nl,src/data/graduations/7th-kyu.nl.json,Ashi kaete,,,,none,,no-internal-match,Needs manual source review.
G00555,7th-kyu,nl,src/data/graduations/7th-kyu.nl.json,Shomen/shimoza,,,,none,,no-internal-match,Needs manual source review.
G00556,7th-kyu,nl,src/data/graduations/7th-kyu.nl.json,Joseki/shimoseki,,,,none,,no-internal-match,Needs manual source review.
G00588,8th-kyu,base,src/data/graduations/8th-kyu.json,International Okinawan Goju-Ryu Karate-Do Federation (IOGKF),,,,none,,no-internal-match,Needs manual source review.
G00589,8th-kyu,base,src/data/graduations/8th-kyu.json,Kenkon/tenchi,,,,none,,no-internal-match,Needs manual source review.
G00590,8th-kyu,base,src/data/graduations/8th-kyu.json,Mon,,,,none,,no-internal-match,Needs manual source review.
G00591,8th-kyu,base,src/data/graduations/8th-kyu.json,Count to 10 in Japanese,,,,none,,no-internal-match,Needs manual source review.
G00594,8th-kyu,base,src/data/graduations/8th-kyu.json,Karate-ka,,,,none,,no-internal-match,Needs manual source review.
