issue_type,reference,source_file,target_file,notes
public-media-not-found-in-text-scan,/Images/blocks/age-uke.gif,,public/Images/blocks/age-uke.gif,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/blocks/gedan-barai.gif,,public/Images/blocks/gedan-barai.gif,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/blocks/soto-uke.gif,,public/Images/blocks/soto-uke.gif,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/goju.png,,public/Images/goju.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/hojo-undo/doubleHandleChiishi.png,,public/Images/hojo-undo/doubleHandleChiishi.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/hojo-undo/makiage.png,,public/Images/hojo-undo/makiage.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/hojo-undo/supplemental.png,,public/Images/hojo-undo/supplemental.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/hojo-undo/ton.png,,public/Images/hojo-undo/ton.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/hojo-undo/udeKetae.png,,public/Images/hojo-undo/udeKetae.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_10_image_1.png,,public/Images/JunbiUndo/page_10_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_11_image_1.png,,public/Images/JunbiUndo/page_11_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_12_image_1.png,,public/Images/JunbiUndo/page_12_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_13_image_1.png,,public/Images/JunbiUndo/page_13_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_14_image_1.png,,public/Images/JunbiUndo/page_14_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_16_image_1.png,,public/Images/JunbiUndo/page_16_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_17_image_1.png,,public/Images/JunbiUndo/page_17_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_19_image_1.png,,public/Images/JunbiUndo/page_19_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_3_image_1.png,,public/Images/JunbiUndo/page_3_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_5_image_1.png,,public/Images/JunbiUndo/page_5_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_5_image_1a.png,,public/Images/JunbiUndo/page_5_image_1a.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_6_image_1.png,,public/Images/JunbiUndo/page_6_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_6_image_1a.png,,public/Images/JunbiUndo/page_6_image_1a.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_7_image_1.png,,public/Images/JunbiUndo/page_7_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_8_image_1.png,,public/Images/JunbiUndo/page_8_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/JunbiUndo/page_9_image_1.png,,public/Images/JunbiUndo/page_9_image_1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/Kata/gekisai-dai-ni-1.png,,public/Images/Kata/gekisai-dai-ni-1.png,May still be loaded dynamically; verify before removing.
public-media-not-found-in-text-scan,/Images/Kata/Kata1.png,,public/Images/Kata/Kata1.png,May still be loaded dynamically; verify before removing.
