file_path,file_type,likely_area,size_bytes,notes
docs/extracted_text.txt,txt,general,148534,
docs/hoei_juku_extracted/appendix.txt,txt,general,24,
docs/hoei_juku_extracted/basic_techniques.txt,txt,general,79966,
docs/hoei_juku_extracted/full_text.txt,txt,general,102655,
docs/hoei_juku_extracted/introduction.txt,txt,general,9405,
docs/hoei_juku_extracted/philosophy.txt,txt,general,2069,
docs/Kakie_web_extracted.txt,txt,general,78749,
docs/Kakie_web.pdf,pdf,general,492256,
docs/geschiedenis.docx,docx,history,19097,
docs/The-Hoei-Juku-Training-Manual.pdf,pdf,hoei-juku,1712003,
docs/Hojo Undo/HojoUndo-Chiishi.pdf,pdf,hojo-undo,369698,
docs/Hojo Undo/HojoUndo-doublehandleChiishi.pdf,pdf,hojo-undo,222076,
docs/Hojo Undo/HojoUndo-IshiSashi.pdf,pdf,hojo-undo,291007,
docs/Hojo Undo/HojoUndo-Jari Bako.pdf,pdf,hojo-undo,146958,
docs/Hojo Undo/HojoUndo-Kongoken.pdf,pdf,hojo-undo,300369,
docs/Hojo Undo/HojoUndo-Makiage.pdf,pdf,hojo-undo,98044,
docs/Hojo Undo/HojoUndo-Makiwara.pdf,pdf,hojo-undo,483607,
docs/Hojo Undo/HojoUndo-Nigiri.pdf,pdf,hojo-undo,261486,
docs/Hojo Undo/HojoUndo-supplemental.pdf,pdf,hojo-undo,270771,
docs/Hojo Undo/HojoUndo-Tan.pdf,pdf,hojo-undo,335958,
docs/Hojo Undo/HojoUndo-Tetsu Geta.pdf,pdf,hojo-undo,167451,
docs/Hojo Undo/HojoUndo-Ton.pdf,pdf,hojo-undo,167608,
docs/Hojo Undo/HojoUndo-Ude Ketae.pdf,pdf,hojo-undo,298635,
docs/Hojo_undo_artikelen_1995.pdf,pdf,hojo-undo,2242186,
docs/hojo_undo_extracted.txt,txt,hojo-undo,43434,
docs/HojoUndo-Ude Tanren_extracted.txt,txt,hojo-undo,9955,
docs/HojoUndo-Ude Tanren.pdf,pdf,hojo-undo,235044,
docs/junbi undo_extracted.txt,txt,junbi-undo,27607,
docs/junbi undo.pdf,pdf,junbi-undo,415855,
docs/Bunkai boekje NL 20251115 tm Sanseru - v1.0 in concept_extracted.txt,txt,kata-bunkai,30535,
docs/Bunkai boekje NL 20251115 tm Sanseru - v1.0 in concept.pdf,pdf,kata-bunkai,276231,
docs/hoei_juku_extracted/kata.txt,txt,kata-bunkai,10792,
docs/technieken-van-de-kata.pdf,pdf,kata-bunkai,5707279,
docs/kumite_extracted.txt,txt,kumite,16336,
docs/kumite.pdf,pdf,kumite,4921729,
docs/Gojuryu_newaza_extracted.txt,txt,newaza,38155,
docs/Gojuryu_newaza.pdf,pdf,newaza,2665114,
